goos: windows
goarch: amd64
pkg: github.com/jaeminst/pace
cpu: Intel(R) Core(TM) i5-10600KF CPU @ 4.10GHz
BenchmarkCaller_Request_NewUser_E2E-12    	   17380	     68648 ns/op	    6073 B/op	      70 allocs/op
BenchmarkCaller_Request_NewUser_E2E-12    	   17979	     66397 ns/op	    6077 B/op	      70 allocs/op
BenchmarkCaller_Request_NewUser_E2E-12    	   17949	     66276 ns/op	    6079 B/op	      70 allocs/op
BenchmarkCaller_Request_NewUser_E2E-12    	   17146	     68293 ns/op	    6076 B/op	      70 allocs/op
BenchmarkConcurrentUsers_256-12           	  686820	      1648 ns/op	    2101 B/op	      21 allocs/op
BenchmarkConcurrentUsers_256-12           	  761896	      1598 ns/op	    2098 B/op	      21 allocs/op
BenchmarkConcurrentUsers_256-12           	  751954	      1500 ns/op	    2098 B/op	      21 allocs/op
BenchmarkConcurrentUsers_256-12           	  829874	      1489 ns/op	    2098 B/op	      21 allocs/op
BenchmarkConcurrentUsers_256-12           	  826047	      1462 ns/op	    2098 B/op	      21 allocs/op
BenchmarkConcurrentUsers_256-12           	  784026	      1466 ns/op	    2098 B/op	      21 allocs/op
PASS
ok  	github.com/jaeminst/pace	178.176s
?   	github.com/jaeminst/pace/examples/basic	[no test files]
?   	github.com/jaeminst/pace/examples/persistent	[no test files]
?   	github.com/jaeminst/pace/internal/bucket	[no test files]
?   	github.com/jaeminst/pace/internal/store	[no test files]
